id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales,Fecha
13,Metropolitana,146,1.084,0,3,0,0,,,,,,,2020-03-28
6,Ohiggins,4,20.0,0,0,0,0,,,,,,,2020-03-28
7,Maule,5,37.0,0,0,0,0,,,,,,,2020-03-28
16,Nuble,28,172.0,0,0,0,0,,,,,,,2020-03-28
8,Biobio,16,151.0,0,2,0,0,,,,,,,2020-03-28
9,Araucania,34,177.0,0,1,0,0,,,,,,,2020-03-28
14,LosRios,5,27.0,0,0,0,0,,,,,,,2020-03-28
10,LosLagos,30,93.0,0,0,0,0,,,,,,,2020-03-28
11,Aysen,0,2.0,0,0,0,0,,,,,,,2020-03-28
12,Magallanes,4,26.0,0,0,0,0,,,,,,,2020-03-28
15,Arica y Parinacota,1,4.0,0,0,0,0,,,,,2020-03-29
1,Tarapaca,1,6.0,0,0,0,0,,,,,2020-03-29
2,Antofagasta,2,27.0,0,0,0,0,,,,,2020-03-29
3,Atacama,1,2.0,0,0,0,0,,,,,2020-03-29
4,Coquimbo,3,18.0,0,0,0,0,,,,,2020-03-29
5,Vaparaiso,9,80.0,0,0,0,0,,,,,2020-03-29
13,Metropolitana,83,1.167,0,3,0,0,,,,,2020-03-29
6,Ohiggins,1,21.0,0,0,0,0,,,,,2020-03-29
7,Maule,5,42.0,0,0,0,0,,,,,2020-03-29
16,Nuble,25,197.0,0,0,0,0,,,,,2020-03-29
8,Biobio,34,185.0,0,2,0,0,,,,,2020-03-29
9,Araucania,28,205.0,0,2,0,0,,,,,2020-03-29
14,LosRios,13,40.0,0,0,0,0,,,,,2020-03-29
10,LosLagos,11,104.0,0,0,0,0,,,,,2020-03-29
11,Aysen,0,2.0,0,0,0,0,,,,,2020-03-29
12,Magallanes,13,39.0,0,0,0,0,,,,,2020-03-29
15,Arica y Parinacota,2,6.0,0,0,0,0,,,,,2020-03-30
1,Tarapaca,2,8.0,0,0,0,0,,,,,2020-03-30
2,Antofagasta,8,35.0,0,0,0,0,,,,,2020-03-30
3,Atacama,0,2.0,0,0,0,0,,,,,2020-03-30
4,Coquimbo,9,27.0,0,0,0,0,,,,,2020-03-30
5,Vaparaiso,28,108.0,0,0,0,0,,,,,2020-03-30
13,Metropolitana,128,1.295,0,3,0,0,,,,,2020-03-30
6,Ohiggins,0,21.0,0,0,0,0,,,,,2020-03-30
7,Maule,12,54.0,0,1,0,0,,,,,2020-03-30
16,Nuble,32,229.0,0,0,0,0,,,,,2020-03-30
8,Biobio,16,201.0,0,2,0,0,,,,,2020-03-30
9,Araucania,42,247.0,0,2,0,0,,,,,2020-03-30
14,LosRios,7,47.0,0,0,0,0,,,,,2020-03-30
10,LosLagos,24,128.0,0,0,0,0,,,,,2020-03-30
11,Aysen,0,2.0,0,0,0,0,,,,,2020-03-30
12,Magallanes,0,39.0,0,0,0,0,,,,,2020-03-30
15,Arica y Parinacota,0,6.0,0,0,0,0,,,,,2020-03-31
1,Tarapaca,2,10.0,0,0,0,0,,,,,2020-03-31
2,Antofagasta,0,35.0,0,0,0,0,,,,,2020-03-31
3,Atacama,0,2.0,0,0,0,0,,,,,2020-03-31
4,Coquimbo,1,28.0,0,0,0,0,,,,,2020-03-31
5,Vaparaiso,7,115.0,0,1,0,0,,,,,2020-03-31
13,Metropolitana,125,1.42,0,4,0,0,,,,,2020-03-31
6,Ohiggins,2,23.0,0,0,0,0,,,,,2020-03-31
7,Maule,8,62.0,0,1,0,0,,,,,2020-03-31
16,Nuble,16,245.0,0,0,0,0,,,,,2020-03-31
8,Biobio,15,216.0,0,2,0,0,,,,,2020-03-31
9,Araucania,55,302.0,0,4,0,0,,,,,2020-03-31
14,LosRios,11,58.0,0,0,0,0,,,,,2020-03-31
10,LosLagos,23,151.0,0,0,0,0,,,,,2020-03-31
11,Aysen,0,2.0,0,0,0,0,,,,,2020-03-31
12,Magallanes,24,63.0,0,0,0,0,,,,,2020-03-31
15,Arica y Parinacota,0,6.0,0,0,0,0,,,,,2020-04-01
